objectid,filename,stope book name,stope book number,location,volume,sill number,subject,title,comments,county,district,latitude,longitude,geomethod,datum,date,company,source,township,range,section,format
bsb001,G23_Vol_1_NBM.pdf,Travona,G23,G23,1,Surface - 1200,Pearce; Star West; Wolcott; Travona,G23 Vol. 1 Travona,"Surface, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200",Silver Bow,Butte,46.004873,-112.54989,Google Earth,Wgs84,1897,Anaconda Copper Mining Company,New Butte Mining Company,03N,08W,24,application/pdf
bsb002,H25_Vol_1_NBM.pdf,Travona East,H25,H25,1,Surface,Travona; Emma; Clark,H25 Vol. 1 Travona East,Surface,Silver Bow,Butte,46.004785,-112.541272,Google Earth,Wgs84,1897,Anaconda Copper Mining Company,New Butte Mining Company,03N,08W,13,application/pdf
bsb003,Misc_2_Vol_3_I17_BSBPA.pdf,Miscellaneous 2,I17,I17,3,,Garibaldi; Minnie Jane,I17 Misc. 2 Vol. 3,"Surface, 100 Sill, 200 Sill, 300 Sill, 400 Sill",Silver Bow,Butte,46.007016,-112.575906,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,07W,15,application/pdf
bsb004,Misc_2_Vol_3_I19_BSBPA.pdf,Miscellaneous 2,I19,I19,3,,North Pole Lease; AC Fisher Lease; Minnie Jane; Germania; Orphan Girl; Elba; Soudan; Sunny Dell; Child Harlod; Preferencia,I19 Misc. 2 Vol. 3 ,"Shaft, 53, 60, 150, 200, 300, 400, 500, 600, 1500, 2800",Silver Bow,Butte,46.007016,-112.567291,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,14,application/pdf
bsb005,Misc_2_Vol_3_I21_BSBPA.pdf,Miscellaneous 2,I21,I21,3,,Elba,I21 Misc. 2 Vol. 3,70,Silver Bow,Butte,46.007016,-112.558562,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,14,application/pdf
bsb006,I23_Vol_1_NBM.pdf,Travona North,I23,I23,1,Surface - 1100,Travona,I23 Vol. 1 Travona North,"Surface, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100",Silver Bow,Butte,46.006922,-112.54988,Google Earth,Wgs84,1897,Anaconda Copper Mining Company,New Butte Mining Company,03N,08W,14,application/pdf
bsb007,I25_Vol_3_BSBPA.pdf,Emma,I25,I25,3,1000 - 2100,Emma; Travona; Original,I25 Vol. 3 Emma,"1000, 1100, 1200, 1400, 1600, 1700, 1800, 2100",Silver Bow,Butte,46.006931,-112.541272,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,13,application/pdf
bsb008,Misc_2_Vol_3_I29_BSBPA.pdf,Miscellaneous 2,I29,I29,3,,Brazil; Orphan Girl; Green Copper; Preferencia; Alliance; Heaney; Farrel; East Butte Extension; Otisco; Belmont,I29 Misc. 2 Vol. 3,"Shaft, 94, 100, 135, 154, 156, 200, 220, 300, 600, 800, 1800, 2800, Discovery Shaft",Silver Bow,Butte,46.007016,-112.523756,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,07W,18,application/pdf
bsb009,Misc_2_Vol_3_I31_BSBPA.pdf,Miscellaneous 2,I31,I31,3,,East Butte Extension; Mary Maclane; Kane; Geyman; Yankee Boy; Belmont,I31 Misc. 2 Vol. 3,"150, 200, 270, 300, 400, 3000",Silver Bow,Butte,46.007016,-112.515188,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,07W,18,application/pdf
bsb010,J11_Misc_2_BSBPA.pdf,Miscellaneous 2,J11,J11,2,300,Blue Bird; Little Darling,J11 Misc. 2 Vol. 2,300,Silver Bow,Butte,46.009222,-112.60197,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,16,application/pdf
bsb011,J13_Misc_2_BSBPA.pdf,Miscellaneous 2,J13,J13,2,100 - 600,Blue Bird; Little Darling,J13 Misc. 2 Vol. 2,"100, 200, 300, 400, 500, 600",Silver Bow,Butte,46.009222,-112.593329,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,16,application/pdf
bsb012,J15_Misc_2_BSBPA.pdf,Miscellaneous 2,J15,J15,2,100 - 500,Blue Bird; Garibaldi,J15 Misc. 2 Vol. 2,"40, 100, 200, 300, 400, 500",Silver Bow,Butte,46.009222,-112.593329,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,15,application/pdf
bsb013,J17_Misc_2_BSBPA.pdf,Miscellaneous 2,J17,J17,2,40 - 1500,Silver Cleft; Minnie Jane; Prospector; Orphan Girl,J17 Misc. 2 Vol. 2,"42, 43, 44, 56, 100, 300, 500, 800, 1200, 1500",Silver Bow,Butte,46.009222,-112.575906,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,15,application/pdf
bsb014,J19_Vol_1_BSBPA.pdf,Orphan Girl,J19,J19,1,100 - 700,Orphan Girl,J19 Vol. 1 Orphan Girl,"80, 203, 100, 200, 500, 400, 300, 700 ",Silver Bow,Butte,46.009236,-112.567193,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,14,application/pdf
bsb015,J19_Vol_2_BSBPA.pdf,Orphan Girl,J19,J19,2,800 - 2300,Orphan Girl,J19 Vol. 2 Orphan Girl,"800, 1000, 1200, 1400, 1500, 1600, 1700, 1900, 2100, 2300",Silver Bow,Butte,46.009236,-112.567193,Google Earth,Wgs84,,Anaconda Copper Mining Company,Butte Silver Bow Public Archives,03N,08W,14,application/pdf
